EPC	Ax^2	Bx	C	R^2
460E	-2.987375790937922e-08	0.0011387348695841017	31.43377581734161	0.9949
B642	-2.987375790937922e-08	0.0011387348695841017	31.43377581734161	0.9949
8320	-3.434842270184044e-08	0.0012168975457680718	30.783949562658197	0.9949
9D1F	-3.0489311156115715e-08	0.0011536686896783444	30.713676944711644	0.9938
152D	-2.6295633612110356e-08	0.0011458727043651296	30.00030419871855	0.9885
88A5	-3.047934228445839e-08	0.001141389516398577	31.044890169763956	0.9969
2B1C	-3.567326464013926e-08	0.001217572725364322	30.541036956444763	0.9915
B0A5	-3.2122783398055923e-08	0.0011788176256233157	30.334275670170225	0.9956
87B4	-3.282480954722699e-08	0.0011992257023446154	30.47351589167502	0.9959
0F4B	-2.9598827188453174e-08	0.0011314125901070052	31.027333893874815	0.9956
