Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2023-04-24 12:00:00,24.3,38.3
2023-04-24 12:01:00,24.3,38.4
2023-04-24 12:02:00,24.3,36.8
2023-04-24 12:03:00,24.4,37.2
2023-04-24 12:04:00,24.4,35.9
2023-04-24 12:05:00,24.4,36.8
2023-04-24 12:06:00,24.4,36.4
2023-04-24 12:07:00,24.5,35.8
2023-04-24 12:08:00,24.6,35.7
2023-04-24 12:09:00,24.6,35.6
2023-04-24 12:10:00,24.7,35.5
2023-04-24 12:11:00,24.8,35.4
2023-04-24 12:12:00,24.9,35.2
2023-04-24 12:13:00,25,34.8
2023-04-24 12:14:00,25.1,34.8
2023-04-24 12:15:00,25.2,34.5
2023-04-24 12:16:00,25.3,34.4
2023-04-24 12:17:00,25.3,34.3
2023-04-24 12:18:00,25.3,34.3
2023-04-24 12:19:00,25.4,34.1
2023-04-24 12:20:00,25.5,33.8
2023-04-24 12:21:00,25.5,33.8
2023-04-24 12:22:00,25.5,33.7
2023-04-24 12:23:00,25.5,33.7
2023-04-24 12:24:00,25.5,33.7
2023-04-24 12:25:00,25.5,33.6
2023-04-24 12:26:00,25.5,33.6
2023-04-24 12:27:00,25.6,33.6
2023-04-24 12:28:00,25.6,33.5
2023-04-24 12:29:00,25.6,33.4
2023-04-24 12:30:00,25.6,33.4
2023-04-24 12:31:00,25.6,33.4
2023-04-24 12:32:00,25.6,33.4
2023-04-24 12:33:00,25.6,33.3
2023-04-24 12:34:00,25.6,33.3
2023-04-24 12:35:00,25.6,33.2
2023-04-24 12:36:00,25.6,33.2
2023-04-24 12:37:00,25.6,33.1
2023-04-24 12:38:00,25.7,33.1
2023-04-24 12:39:00,25.7,33
2023-04-24 12:40:00,25.7,33.1
2023-04-24 12:41:00,25.7,33
2023-04-24 12:42:00,25.7,32.9
2023-04-24 12:43:00,25.7,32.9
2023-04-24 12:44:00,25.7,32.9
2023-04-24 12:45:00,25.7,32.9
2023-04-24 12:46:00,25.7,32.9
2023-04-24 12:47:00,25.8,32.9
2023-04-24 12:48:00,25.8,32.9
2023-04-24 12:49:00,25.8,32.8
2023-04-24 12:50:00,25.8,32.8
2023-04-24 12:51:00,25.8,32.8
2023-04-24 12:52:00,25.8,32.8
2023-04-24 12:53:00,25.8,32.8
2023-04-24 12:54:00,25.8,32.8
2023-04-24 12:55:00,25.8,32.8
2023-04-24 12:56:00,25.8,32.8
2023-04-24 12:57:00,25.8,32.8
2023-04-24 12:58:00,25.8,32.8
2023-04-24 12:59:00,25.8,32.8
2023-04-24 13:00:00,25.8,32.7
2023-04-24 13:01:00,25.8,32.7
2023-04-24 13:02:00,25.8,32.7
2023-04-24 13:03:00,25.8,32.6
2023-04-24 13:04:00,25.8,32.7
2023-04-24 13:05:00,25.8,32.7
2023-04-24 13:06:00,25.7,32.7
2023-04-24 13:07:00,25.7,32.6
2023-04-24 13:08:00,25.7,32.7
2023-04-24 13:09:00,25.7,32.7
2023-04-24 13:10:00,25.7,32.6
2023-04-24 13:11:00,25.7,32.7
2023-04-24 13:12:00,25.7,32.7
2023-04-24 13:13:00,25.7,32.7
2023-04-24 13:14:00,25.7,32.7
2023-04-24 13:15:00,25.7,32.6
2023-04-24 13:16:00,25.7,32.6
2023-04-24 13:17:00,25.7,32.7
2023-04-24 13:18:00,25.7,32.7
2023-04-24 13:19:00,25.7,32.7
2023-04-24 13:20:00,25.7,32.6
2023-04-24 13:21:00,25.7,32.6
2023-04-24 13:22:00,25.6,32.6
2023-04-24 13:23:00,25.7,32.6
2023-04-24 13:24:00,25.6,32.6
2023-04-24 13:25:00,25.6,32.7
2023-04-24 13:26:00,25.6,32.7
2023-04-24 13:27:00,25.6,32.7
2023-04-24 13:28:00,25.6,32.7
2023-04-24 13:29:00,25.6,32.7
2023-04-24 13:30:00,25.6,32.6
2023-04-24 13:31:00,25.6,32.7
2023-04-24 13:32:00,25.6,32.6
2023-04-24 13:33:00,25.6,32.6
2023-04-24 13:34:00,25.6,32.6
2023-04-24 13:35:00,25.5,32.7
2023-04-24 13:36:00,25.5,32.7
2023-04-24 13:37:00,25.5,32.7
2023-04-24 13:38:00,25.5,32.7
2023-04-24 13:39:00,25.5,32.7
2023-04-24 13:40:00,25.5,32.7
2023-04-24 13:41:00,25.5,32.7
2023-04-24 13:42:00,25.5,32.7
2023-04-24 13:43:00,25.5,32.7
2023-04-24 13:44:00,25.5,32.8
2023-04-24 13:45:00,25.5,32.7
2023-04-24 13:46:00,25.5,32.7
2023-04-24 13:47:00,25.5,32.7
2023-04-24 13:48:00,25.5,32.7
2023-04-24 13:49:00,25.5,32.7
2023-04-24 13:50:00,25.4,32.6
2023-04-24 13:51:00,25.4,32.7
2023-04-24 13:52:00,25.4,32.8
2023-04-24 13:53:00,25.4,32.8
2023-04-24 13:54:00,25.4,32.9
2023-04-24 13:55:00,25.4,32.9
2023-04-24 13:56:00,25.4,32.9
2023-04-24 13:57:00,25.4,32.9
2023-04-24 13:58:00,25.4,32.9
2023-04-24 13:59:00,25.3,32.9
2023-04-24 14:00:00,25.3,33
2023-04-24 14:01:00,25.3,33
2023-04-24 14:02:00,25.3,33
2023-04-24 14:03:00,25.3,33
2023-04-24 14:04:00,25.3,33
2023-04-24 14:05:00,25.3,33
2023-04-24 14:06:00,25.3,33.1
2023-04-24 14:07:00,25.3,33
2023-04-24 14:08:00,25.3,33.1
2023-04-24 14:09:00,25.3,33.1
2023-04-24 14:10:00,25.3,33.1
2023-04-24 14:11:00,25.3,33.1
2023-04-24 14:12:00,25.2,33.2
2023-04-24 14:13:00,25.2,33.1
2023-04-24 14:14:00,25.2,33.1
2023-04-24 14:15:00,25.2,33.2
2023-04-24 14:16:00,25.2,33.3
2023-04-24 14:17:00,25.2,33.3
2023-04-24 14:18:00,25.2,33.4
2023-04-24 14:19:00,25.2,33.4
2023-04-24 14:20:00,25.2,33.4
2023-04-24 14:21:00,25.2,33.4
2023-04-24 14:22:00,25.2,33.4
2023-04-24 14:23:00,25.2,33.4
2023-04-24 14:24:00,25.2,33.4
2023-04-24 14:25:00,25.2,33.4
2023-04-24 14:26:00,25.2,33.4
2023-04-24 14:27:00,25.2,33.5
2023-04-24 14:28:00,25.2,33.5
2023-04-24 14:29:00,25.2,33.5
2023-04-24 14:30:00,25.2,33.4
2023-04-24 14:31:00,25.2,33.5
2023-04-24 14:32:00,25.2,33.5
2023-04-24 14:33:00,25.2,33.5
2023-04-24 14:34:00,25.2,33.5
2023-04-24 14:35:00,25.2,33.5
2023-04-24 14:36:00,25.3,33.5
2023-04-24 14:37:00,25.3,33.4
2023-04-24 14:38:00,25.3,33.4
2023-04-24 14:39:00,25.3,33.5
2023-04-24 14:40:00,25.3,33.4
2023-04-24 14:41:00,25.3,33.3
2023-04-24 14:42:00,25.3,33.3
2023-04-24 14:43:00,25.3,33.3
2023-04-24 14:44:00,25.3,33.3
2023-04-24 14:45:00,25.3,33.3
2023-04-24 14:46:00,25.4,33.3
2023-04-24 14:47:00,25.3,33.3
2023-04-24 14:48:00,25.4,33.2
2023-04-24 14:49:00,25.4,33.2
2023-04-24 14:50:00,25.4,33.2
2023-04-24 14:51:00,25.4,33.2
2023-04-24 14:52:00,25.4,33.2
2023-04-24 14:53:00,25.4,33.2
2023-04-24 14:54:00,25.4,33.1
2023-04-24 14:55:00,25.3,33.1
2023-04-24 14:56:00,25.3,33.1
2023-04-24 14:57:00,25.3,33.1
2023-04-24 14:58:00,25.3,33.1
2023-04-24 14:59:00,25.3,33.1
2023-04-24 15:00:00,25.3,33.1
2023-04-24 15:01:00,25.3,33.1
2023-04-24 15:02:00,25.3,33.1
2023-04-24 15:03:00,25.2,33.1
2023-04-24 15:04:00,25.2,33.1
2023-04-24 15:05:00,25.2,33.2
2023-04-24 15:06:00,25.2,33.3
2023-04-24 15:07:00,25.2,33.3
2023-04-24 15:08:00,25.2,33.3
2023-04-24 15:09:00,25.2,33.3
2023-04-24 15:10:00,25.2,33.3
2023-04-24 15:11:00,25.2,33.3
2023-04-24 15:12:00,25.2,33.2
2023-04-24 15:13:00,25.1,33.3
2023-04-24 15:14:00,25.2,33.3
2023-04-24 15:15:00,25.2,33.3
2023-04-24 15:16:00,25.2,33.3
2023-04-24 15:17:00,25.2,33.3
2023-04-24 15:18:00,25.2,33.3
2023-04-24 15:19:00,25.2,33.3
2023-04-24 15:20:00,25.1,33.2
2023-04-24 15:21:00,25.1,33.2
2023-04-24 15:22:00,25.1,33.2
2023-04-24 15:23:00,25.1,33.2
2023-04-24 15:24:00,25.1,33.3
2023-04-24 15:25:00,25.1,33.3
2023-04-24 15:26:00,25.1,33.3
2023-04-24 15:27:00,25.1,33.3
2023-04-24 15:28:00,25.1,33.3
2023-04-24 15:29:00,25,33.2
2023-04-24 15:30:00,25,33.3
2023-04-24 15:31:00,25,33.3
2023-04-24 15:32:00,25,33.3
2023-04-24 15:33:00,25,33.3
2023-04-24 15:34:00,25,33.3
2023-04-24 15:35:00,25,33.3
2023-04-24 15:36:00,25,33.4
2023-04-24 15:37:00,25,33.3
2023-04-24 15:38:00,25,33.4
2023-04-24 15:39:00,25,33.4
2023-04-24 15:40:00,25,33.3
2023-04-24 15:41:00,25,33.3
2023-04-24 15:42:00,25.1,33.2
2023-04-24 15:43:00,25.1,33.2
2023-04-24 15:44:00,25.1,33.2
2023-04-24 15:45:00,25.1,33.3
2023-04-24 15:46:00,25.1,33.3
2023-04-24 15:47:00,25.1,33.3
2023-04-24 15:48:00,25.1,33.3
2023-04-24 15:49:00,25.1,33.3
2023-04-24 15:50:00,25.1,33.3
2023-04-24 15:51:00,25.1,33.2
2023-04-24 15:52:00,25.1,33.2
2023-04-24 15:53:00,25.1,33.2
2023-04-24 15:54:00,25.1,33.2
2023-04-24 15:55:00,25.1,33.2
2023-04-24 15:56:00,25.1,33.2
2023-04-24 15:57:00,25.1,33.2
