Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-09 16:40,210993897, 1,50.82, °C
2023-May-09 16:40,210993897, 2,50.97, °C
2023-May-09 16:45,210993897, 1,50.52, °C
2023-May-09 16:45,210993897, 2,50.68, °C
2023-May-09 16:50,210993897, 1,50.07, °C
2023-May-09 16:50,210993897, 2,50.23, °C
2023-May-09 16:55,210993897, 1,49.53, °C
2023-May-09 16:55,210993897, 2,49.68, °C
2023-May-09 17:00,210993897, 1,48.95, °C
2023-May-09 17:00,210993897, 2,49.1, °C
2023-May-09 17:05,210993897, 1,48.32, °C
2023-May-09 17:05,210993897, 2,48.48, °C
2023-May-09 17:10,210993897, 1,47.69, °C
2023-May-09 17:10,210993897, 2,47.84, °C
2023-May-09 17:15,210993897, 1,47.04, °C
2023-May-09 17:15,210993897, 2,47.19, °C
2023-May-09 17:20,210993897, 1,46.41, °C
2023-May-09 17:20,210993897, 2,46.57, °C
2023-May-09 17:25,210993897, 1,45.82, °C
2023-May-09 17:25,210993897, 2,45.97, °C
2023-May-09 17:30,210993897, 1,45.22, °C
2023-May-09 17:30,210993897, 2,45.38, °C
2023-May-09 17:35,210993897, 1,44.62, °C
2023-May-09 17:35,210993897, 2,44.77, °C
2023-May-09 17:40,210993897, 1,44.03, °C
2023-May-09 17:40,210993897, 2,44.19, °C
2023-May-09 17:45,210993897, 1,43.47, °C
2023-May-09 17:45,210993897, 2,43.61, °C
2023-May-09 17:50,210993897, 1,42.94, °C
2023-May-09 17:50,210993897, 2,43.09, °C
2023-May-09 17:55,210993897, 1,42.42, °C
2023-May-09 17:55,210993897, 2,42.58, °C
2023-May-09 18:01,210993897, 1,41.89, °C
2023-May-09 18:01,210993897, 2,42.04, °C
2023-May-09 18:06,210993897, 1,41.38, °C
2023-May-09 18:06,210993897, 2,41.54, °C
2023-May-09 18:11,210993897, 1,40.89, °C
2023-May-09 18:11,210993897, 2,41.04, °C
2023-May-09 18:16,210993897, 1,40.4, °C
2023-May-09 18:16,210993897, 2,40.56, °C
2023-May-09 18:21,210993897, 1,39.95, °C
2023-May-09 18:21,210993897, 2,40.1, °C
2023-May-09 18:26,210993897, 1,39.51, °C
