Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-10 16:55, 210993897, 1, 23.13, °C
2023-May-10 16:55, 210993897, 2, 23.3, °C
2023-May-10 17:01, 210993897, 1, 24.08, °C
2023-May-10 17:01, 210993897, 2, 24.24, °C
2023-May-10 17:06, 210993897, 1, 24.95, °C
2023-May-10 17:06, 210993897, 2, 25.12, °C
2023-May-10 17:11, 210993897, 1, 25.82, °C
2023-May-10 17:11, 210993897, 2, 26, °C
2023-May-10 17:16, 210993897, 1, 26.69, °C
2023-May-10 17:16, 210993897, 2, 26.86, °C
2023-May-10 17:21, 210993897, 1, 27.54, °C
2023-May-10 17:21, 210993897, 2, 27.69, °C
2023-May-10 17:26, 210993897, 1, 28.34, °C
2023-May-10 17:26, 210993897, 2, 28.5, °C
2023-May-10 17:31, 210993897, 1, 29.13, °C
2023-May-10 17:31, 210993897, 2, 29.3, °C
2023-May-10 17:36, 210993897, 1, 29.91, °C
2023-May-10 17:36, 210993897, 2, 30.07, °C
2023-May-10 17:41, 210993897, 1, 30.65, °C
2023-May-10 17:41, 210993897, 2, 30.81, °C
2023-May-10 17:46, 210993897, 1, 31.37, °C
2023-May-10 17:46, 210993897, 2, 31.52, °C
2023-May-10 17:51, 210993897, 1, 32.04, °C
2023-May-10 17:51, 210993897, 2, 32.19, °C
2023-May-10 17:56, 210993897, 1, 32.69, °C
2023-May-10 17:56, 210993897, 2, 32.85, °C
2023-May-10 18:01, 210993897, 1, 33.32, °C
2023-May-10 18:01, 210993897, 2, 33.47, °C
2023-May-10 18:06, 210993897, 1, 33.92, °C
2023-May-10 18:06, 210993897, 2, 34.07, °C
2023-May-10 18:11, 210993897, 1, 34.5, °C
2023-May-10 18:11, 210993897, 2, 34.65, °C
2023-May-10 18:16, 210993897, 1, 35.06, °C
2023-May-10 18:16, 210993897, 2, 35.22, °C
2023-May-10 18:21, 210993897, 1, 35.61, °C
2023-May-10 18:21, 210993897, 2, 35.76, °C
2023-May-10 18:27, 210993897, 1, 36.15, °C
2023-May-10 18:27, 210993897, 2, 36.3, °C
2023-May-10 18:32, 210993897, 1, 36.65, °C
2023-May-10 18:32, 210993897, 2, 36.81, °C
2023-May-10 18:37, 210993897, 1, 37.15, °C
2023-May-10 18:37, 210993897, 2, 37.31, °C
2023-May-10 18:42, 210993897, 1, 37.63, °C
2023-May-10 18:42, 210993897, 2, 37.78, °C
2023-May-10 18:47, 210993897, 1, 38.09, °C
2023-May-10 18:47, 210993897, 2, 38.25, °C
2023-May-10 18:52, 210993897, 1, 38.56, °C
2023-May-10 18:52, 210993897, 2, 38.73, °C
2023-May-10 18:57, 210993897, 1, 39, °C
2023-May-10 18:57, 210993897, 2, 39.17, °C
2023-May-10 19:02, 210993897, 1, 39.42, °C
2023-May-10 19:02, 210993897, 2, 39.58, °C
2023-May-10 19:07, 210993897, 1, 39.82, °C
2023-May-10 19:07, 210993897, 2, 39.98, °C
2023-May-10 19:12, 210993897, 1, 40.21, °C
2023-May-10 19:12, 210993897, 2, 40.36, °C
2023-May-10 19:17, 210993897, 1, 40.58, °C
2023-May-10 19:17, 210993897, 2, 40.74, °C
2023-May-10 19:22, 210993897, 1, 40.94, °C
2023-May-10 19:22, 210993897, 2, 41.1, °C
2023-May-10 19:27, 210993897, 1, 41.28, °C
2023-May-10 19:27, 210993897, 2, 41.45, °C
2023-May-10 19:32, 210993897, 1, 41.62, °C
2023-May-10 19:32, 210993897, 2, 41.78, °C
2023-May-10 19:37, 210993897, 1, 41.94, °C
2023-May-10 19:37, 210993897, 2, 42.1, °C
2023-May-10 19:42, 210993897, 1, 42.26, °C
2023-May-10 19:42, 210993897, 2, 42.41, °C
2023-May-10 19:47, 210993897, 1, 42.56, °C
2023-May-10 19:47, 210993897, 2, 42.72, °C
2023-May-10 19:52, 210993897, 1, 42.85, °C
2023-May-10 19:52, 210993897, 2, 43, °C
2023-May-10 19:57, 210993897, 1, 43.13, °C
2023-May-10 19:57, 210993897, 2, 43.28, °C
2023-May-10 20:02, 210993897, 1, 43.4, °C
2023-May-10 20:02, 210993897, 2, 43.55, °C
2023-May-10 20:08, 210993897, 1, 43.68, °C
2023-May-10 20:08, 210993897, 2, 43.83, °C
2023-May-10 20:13, 210993897, 1, 43.94, °C
2023-May-10 20:13, 210993897, 2, 44.1, °C
2023-May-10 20:18, 210993897, 1, 44.21, °C
2023-May-10 20:18, 210993897, 2, 44.36, °C
2023-May-10 20:23, 210993897, 1, 44.45, °C
2023-May-10 20:23, 210993897, 2, 44.6, °C
2023-May-10 20:28, 210993897, 1, 44.67, °C
2023-May-10 20:28, 210993897, 2, 44.82, °C
2023-May-10 20:33, 210993897, 1, 44.87, °C
2023-May-10 20:33, 210993897, 2, 45.02, °C
2023-May-10 20:38, 210993897, 1, 45.07, °C
