Time,B,C,Ab L,Ab R,AUR,ALR,ALL,AUL
1970-02-01 12:48:57,,,,,,,,
1970-02-01 12:48:58,,,,,,,-4.633333333,
1970-02-01 12:48:59,,,,,,,-4.19,
1970-02-01 12:49:00,,,,,,,-4.63,
1970-02-01 12:49:01,,,,,,,-4.245,
1970-02-01 12:49:02,,,,,,,-4.5925,
1970-02-01 12:49:03,,,,,,,,
1970-02-01 12:49:04,,,,,-5.485,,,
1970-02-01 12:49:05,,,,,-5.844166667,,,
1970-02-01 12:49:06,,,,,,,,
1970-02-01 12:49:07,,,,,-5.973333333,,,
1970-02-01 12:49:08,,,,,,,,
1970-02-01 12:49:09,,,,,,,,
1970-02-01 12:49:10,,,,,,,-4.613333333,
1970-02-01 12:49:11,,,,,,,-4.03,
1970-02-01 12:49:12,,,,,-5.36,,,-6.28
1970-02-01 12:49:13,,,,,,,-4.076666667,-6.323333333
1970-02-01 12:49:14,,,,,-5.77,,-4.66,-6.28
1970-02-01 12:49:15,,,,,,,-4.76,
1970-02-01 12:49:16,,,,,-5.775,,-4.53,
1970-02-01 12:49:17,,,,,,,-4.655,
1970-02-01 12:49:18,,,,,,,,
1970-02-01 12:49:19,,,,,,,,
1970-02-01 12:49:20,,,,,,,,
1970-02-01 12:49:21,,,,,,,,
1970-02-01 12:49:22,,,,,,,,
1970-02-01 12:49:23,,,,,,,-4.26,
1970-02-01 12:49:24,,,,,,,-4.483333333,
1970-02-01 12:49:25,,,,,,,-4.39,
1970-02-01 12:49:26,,,,,,,,
1970-02-01 12:49:27,,,,,,,,
1970-02-01 12:49:28,,,,,,,,
1970-02-01 12:49:29,,,,,,,,
1970-02-01 12:49:30,,,,,-5.386666667,,,
1970-02-01 12:49:31,,,,,,,,
1970-02-01 12:49:32,,,,,,,-5.066666667,
1970-02-01 12:49:33,,,,,,,-4.526666667,
1970-02-01 12:49:34,,,,,,,-4.470833333,
1970-02-01 12:49:35,,,,,-5.365,,,-6.345
1970-02-01 12:49:36,,,,,-5.37,,,-6.106666667
1970-02-01 12:49:37,,-4.035,,,-5.5,,,-6.1825
1970-02-01 12:49:38,,-4.17,,,,,,-5.89
1970-02-01 12:49:39,,-4.0025,,,,,,-6.085
1970-02-01 12:49:40,,-3.788333333,,,-5.5,,,-6.063333333
1970-02-01 12:49:41,,-3.546666667,,,-5.953333333,,-4.25,
1970-02-01 12:49:42,,,,,-5.57,,,
1970-02-01 12:49:43,,,,,-5.435,,,
1970-02-01 12:49:44,,,,,-5.231666667,,,
1970-02-01 12:49:45,,,,,-5.525833333,,,
1970-02-01 12:49:46,,,,,-5.906666667,,,
1970-02-01 12:49:47,,,,,-5.565,,,
